respondent,uniqueId,choice,choiceNumber,tripLength,av_Walking,av_PrivateCar,av_PublicTransport,av_PrivateBike,av_CarSharing,av_BikeSharing,av_EScooterSharing,AccessEgressTime_Walking,TravelTime_Walking,SearchParking_Walking,TravelCost_Walking,ParkingCost_Walking,Availability_Walking,AccessEgressTime_PrivateCar,TravelTime_PrivateCar,SearchParking_PrivateCar,TravelCost_PrivateCar,ParkingCost_PrivateCar,Availability_PrivateCar,AccessEgressTime_PublicTransport,TravelTime_PublicTransport,SearchParking_PublicTransport,TravelCost_PublicTransport,ParkingCost_PublicTransport,Availability_PublicTransport,AccessEgressTime_PrivateBike,TravelTime_PrivateBike,SearchParking_PrivateBike,TravelCost_PrivateBike,ParkingCost_PrivateBike,Availability_PrivateBike,AccessEgressTime_CarSharing,TravelTime_CarSharing,SearchParking_CarSharing,TravelCost_CarSharing,ParkingCost_CarSharing,Availability_CarSharing,AccessEgressTime_BikeSharing,TravelTime_BikeSharing,SearchParking_BikeSharing,TravelCost_BikeSharing,ParkingCost_BikeSharing,Availability_BikeSharing,AccessEgressTime_EScooterSharing,TravelTime_EScooterSharing,SearchParking_EScooterSharing,TravelCost_EScooterSharing,ParkingCost_EScooterSharing,Availability_EScooterSharing
10,11,Bike-sharing,8,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,1,25,1,3,0,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,30,0,2.5,-1,50,-1,-1,-1,-1,-1,-1
10,12,Private Car,2,3.5,1,1,0,1,0,1,0,-1,35,-1,-1,-1,-1,1,10,10,1,0,-1,-1,-1,-1,-1,-1,-1,0,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,0,0.5,-1,100,-1,-1,-1,-1,-1,-1
10,13,E-scooter-sharing,8,1,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,14,E-scooter-sharing,8,1.5,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,15,Private Bike,4,1.5,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,16,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,5,45,1,5,1,-1,1,65,-1,3.5,-1,-1,-1,-1,-1,-1,-1,-1,1,45,0,16,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,17,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,1,55,5,4,1,-1,10,75,-1,3.5,-1,-1,-1,-1,-1,-1,-1,-1,10,65,0,9.5,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,18,Private Bike,4,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,1,20,1,0.5,1,-1,1,25,-1,1,-1,-1,0,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,30,0,5.5,-1,100
11,19,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,20,15,10,1.5,0,-1,1,30,-1,1,-1,-1,0,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,15,1,2.5,-1,10,-1,-1,-1,-1,-1,-1
11,20,Private Car,2,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,15,15,5,1,1,-1,5,20,-1,3.5,-1,-1,2,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,25,1,9.5,-1,100
11,21,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,15,20,1,1,5,-1,5,20,-1,3.5,-1,-1,2,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,20,1,2.5,-1,50,-1,-1,-1,-1,-1,-1
11,22,Walking,1,1,1,1,1,1,0,1,0,-1,14,-1,-1,-1,-1,5,4,1,0.2,1,-1,2,5,-1,2,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,0.6,-1,50,-1,-1,-1,-1,-1,-1
11,23,Private Bike,4,1,1,1,1,1,0,0,1,-1,12,-1,-1,-1,-1,10,3,10,0.2,0,-1,2,5,-1,1,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,0,2,-1,100
11,24,Walking,1,0.5,1,1,0,1,0,0,1,-1,5,-1,-1,-1,-1,5,1,1,0.1,0,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,1,-1,100
11,25,Private Bike,4,3.5,1,1,0,1,0,1,0,-1,35,-1,-1,-1,-1,10,15,1,1.5,1,-1,-1,-1,-1,-1,-1,-1,0,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,12,0,0.5,-1,100,-1,-1,-1,-1,-1,-1
11,26,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,5,25,10,3,0,-1,-1,-1,-1,-1,-1,-1,0,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,0,2,-1,50,-1,-1,-1,-1,-1,-1
15,73,Walking,1,1,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,74,Walking,1,1,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,75,Private Bike,4,1.5,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,76,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,5,15,1,1,0,-1,5,25,-1,1,-1,-1,2,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
16,77,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,1,45,5,5,0,-1,1,65,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,45,0,9.5,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,78,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,1,10,10,1.5,0,-1,5,20,-1,3.5,-1,-1,2,15,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
16,79,Private Bike,4,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,20,10,10,0.5,0,-1,5,25,-1,1,-1,-1,2,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,1,5.5,-1,50
16,80,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,20,55,5,5,1,-1,5,65,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,10,55,1,9.5,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,81,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,10,45,1,5,5,-1,5,65,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,55,1,9.5,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,82,Walking,1,1,1,1,1,1,0,0,1,-1,12,-1,-1,-1,-1,10,3,10,0.2,0,-1,2,5,-1,1,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,0,2,-1,100
16,83,Walking,1,1,1,1,1,1,0,0,1,-1,12,-1,-1,-1,-1,5,4,5,0.2,1,-1,2,4,-1,2,-1,-1,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,0,2.5,-1,100
16,84,Walking,1,1,1,1,1,1,0,1,0,-1,10,-1,-1,-1,-1,5,3,1,1,0,-1,2,6,-1,2,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,0.6,-1,50,-1,-1,-1,-1,-1,-1
16,85,Private Bike,4,3.5,1,1,0,1,0,1,0,-1,35,-1,-1,-1,-1,10,15,1,1.5,1,-1,-1,-1,-1,-1,-1,-1,0,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,12,0,0.5,-1,100,-1,-1,-1,-1,-1,-1
16,86,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,5,30,1,3,5,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,30,0,2,-1,100,-1,-1,-1,-1,-1,-1
16,87,Private Car,2,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,10,30,1,2,5,-1,-1,-1,-1,-1,-1,-1,0,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
16,88,Walking,1,1.5,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,89,None,9,0.5,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,90,Walking,1,0.5,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,91,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,5,65,5,5,1,-1,10,75,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,10,65,0,9.5,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,92,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,5,65,1,5,5,-1,5,75,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,5,55,0,24,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,93,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,5,15,5,1.5,5,-1,10,30,-1,1,-1,-1,2,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,25,0,2.5,-1,100,-1,-1,-1,-1,-1,-1
17,94,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,10,45,1,5,5,-1,5,65,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,55,1,9.5,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,95,Public Transport,3,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,10,20,5,1.5,1,-1,10,25,-1,1,-1,-1,2,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,25,1,7.5,-1,50
17,96,Private Car,2,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,10,15,5,1.5,1,-1,10,25,-1,1,-1,-1,0,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,30,1,7.5,-1,100
17,97,Walking,1,0.5,1,1,0,1,0,0,1,-1,7,-1,-1,-1,-1,5,1,5,1,0,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,1,-1,50
17,98,Private Bike,4,1,1,1,1,1,0,1,0,-1,10,-1,-1,-1,-1,5,3,1,1,0,-1,2,6,-1,2,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,0.6,-1,50,-1,-1,-1,-1,-1,-1
17,99,Walking,1,0.5,1,1,0,1,0,0,1,-1,7,-1,-1,-1,-1,5,1,10,0.5,0,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,2,-1,100
17,100,Private Bike,4,3.5,1,1,0,1,0,1,0,-1,45,-1,-1,-1,-1,10,15,5,1.5,0,-1,-1,-1,-1,-1,-1,-1,0,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,15,0,0.5,-1,100,-1,-1,-1,-1,-1,-1
17,101,Private Car,2,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,1,25,10,3,1,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,30,0,2,-1,50,-1,-1,-1,-1,-1,-1
17,102,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,5,35,10,2.5,5,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,30,0,2,-1,100,-1,-1,-1,-1,-1,-1
17,103,Walking,1,1,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,104,Private Bike,4,1.5,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,105,Walking,1,0.5,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,106,Private Car,2,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,5,65,5,5,1,-1,10,75,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,10,65,0,9.5,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,107,Private Bike,4,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,5,20,1,1,5,-1,1,30,-1,3.5,-1,-1,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,25,0,7.5,-1,100
20,108,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,1,15,5,1.5,1,-1,5,20,-1,1,-1,-1,2,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,2.5,-1,100,-1,-1,-1,-1,-1,-1
20,109,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,10,20,1,1.5,1,-1,1,30,-1,1,-1,-1,0,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,0,2,-1,50,-1,-1,-1,-1,-1,-1
20,110,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,15,45,10,5,0,-1,10,55,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,45,10,16,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,111,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,15,45,5,4,5,-1,10,55,-1,3.5,-1,-1,-1,-1,-1,-1,-1,-1,5,45,5,16,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,112,Private Bike,4,1,1,1,1,1,0,1,0,-1,10,-1,-1,-1,-1,5,3,1,1,0,-1,2,6,-1,2,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,0.6,-1,50,-1,-1,-1,-1,-1,-1
20,113,Walking,1,0.5,1,1,0,1,0,1,0,-1,7,-1,-1,-1,-1,5,2,5,0.1,1,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,0.3,-1,100,-1,-1,-1,-1,-1,-1
20,114,Walking,1,0.5,1,1,0,1,0,0,1,-1,5,-1,-1,-1,-1,5,1,1,0.1,0,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,1,-1,100
20,115,Private Bike,4,3.5,1,1,0,1,0,1,0,-1,35,-1,-1,-1,-1,10,15,1,1.5,1,-1,-1,-1,-1,-1,-1,-1,0,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,12,0,0.5,-1,100,-1,-1,-1,-1,-1,-1
20,116,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,1,30,1,2.5,0,-1,-1,-1,-1,-1,-1,-1,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
20,117,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,5,25,10,3,0,-1,-1,-1,-1,-1,-1,-1,0,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,0,2,-1,50,-1,-1,-1,-1,-1,-1
20,118,Walking,1,1,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,119,Walking,1,0.5,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,120,Walking,1,0.5,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,121,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,5,15,1,1,0,-1,5,25,-1,1,-1,-1,2,20,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
21,122,Private Bike,4,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,1,10,10,1.5,0,-1,5,20,-1,3.5,-1,-1,2,15,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,1.5,-1,100,-1,-1,-1,-1,-1,-1
21,123,Public Transport,3,5,0,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,1,15,5,1.5,1,-1,5,20,-1,1,-1,-1,2,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,25,0,2.5,-1,100,-1,-1,-1,-1,-1,-1
21,124,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,20,45,5,3,1,-1,1,65,-1,5.5,-1,-1,-1,-1,-1,-1,-1,-1,5,45,10,16,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,125,Public Transport,3,15,0,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,10,45,1,5,5,-1,5,65,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,55,1,9.5,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,126,Private Bike,4,5,0,1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,10,20,5,1.5,1,-1,10,25,-1,1,-1,-1,2,25,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,25,1,7.5,-1,50
21,127,Walking,1,0.5,1,1,0,1,0,0,1,-1,5,-1,-1,-1,-1,10,2,1,0.5,0,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,0.5,-1,100
21,128,Walking,1,1,1,1,1,1,0,0,1,-1,10,-1,-1,-1,-1,10,4,1,1,0,-1,5,6,-1,1,-1,-1,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,0,2.5,-1,100
21,129,Walking,1,0.5,1,1,0,1,0,1,0,-1,6,-1,-1,-1,-1,10,3,1,0.5,1,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,0,0.2,-1,50,-1,-1,-1,-1,-1,-1
21,130,Private Bike,4,3.5,1,1,0,1,0,1,0,-1,35,-1,-1,-1,-1,1,15,10,1.5,5,-1,-1,-1,-1,-1,-1,-1,0,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,15,0,1,-1,50,-1,-1,-1,-1,-1,-1
21,131,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,1,25,1,3,0,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,30,0,2.5,-1,50,-1,-1,-1,-1,-1,-1
21,132,Private Bike,4,7,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,5,35,1,2.5,1,-1,-1,-1,-1,-1,-1,-1,0,30,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,30,0,2,-1,50,-1,-1,-1,-1,-1,-1
21,133,Walking,1,1,1,0,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,134,Walking,1,1,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
